date, modeltype, features, dataset, thetime, cv_score, macro_prec, macro_recall, macro_f1, params, ,
precision_micro2019-08-18_03_44_24, RandomForestClassifier, document_simplified and list_funcs and topo and code feats, ,383,0.428,0.477,0.438,0.428, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_02_55_55, RandomForestClassifier, document and topo and code feats, ,382,0.433,0.482,0.434,0.427, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_00_30_15, RandomForestClassifier, document and topo feats, ,384,0.43,0.483,0.435,0.427, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-17_22_53_02, RandomForestClassifier, document, ,383,0.429,0.476,0.435,0.427, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-17_23_17_19, RandomForestClassifier, document_simplified, ,383,0.427,0.478,0.437,0.427, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_02_07_24, RandomForestClassifier, document_simplified and code feats, ,383,0.431,0.48,0.436,0.426, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_03_44_24, RandomForestClassifier, document_simplified and list_funcs and topo and code feats, ,382,0.43,0.479,0.436,0.426, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_00_54_34, RandomForestClassifier, document_simplified and topo feats, ,383,0.428,0.483,0.436,0.426, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_00_54_34, RandomForestClassifier, document_simplified and topo feats, ,383,0.423,0.486,0.432,0.424, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_01_18_51, RandomForestClassifier, document_simplified and list_funcs and topo feats, ,383,0.43,0.469,0.434,0.423, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_02_55_55, RandomForestClassifier, document and topo and code feats, ,382,0.431,0.473,0.433,0.422, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-17_23_41_37, RandomForestClassifier, document and list funcs, ,383,0.429,0.48,0.431,0.421, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_00_30_15, RandomForestClassifier, document and topo feats, ,383,0.429,0.479,0.431,0.42, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_02_07_24, RandomForestClassifier, document_simplified and code feats, ,382,0.422,0.468,0.428,0.42, clf__max_depth-8_clf__n_estimators-50_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_03_20_09, RandomForestClassifier, document_simplified and topo and code feats, ,383,0.431,0.465,0.43,0.419, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_00_05_56, RandomForestClassifier, document_simplified and list funcs, ,383,0.426,0.463,0.424,0.413, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-16_00_54_59, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,517,0.387,0.47,0.374,0.401, clf__booster-gbtree_clf__max_depth-150_, ,
f1_macro2019-09-16_13_44_49, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,237,0.375,0.51,0.358,0.39, clf__booster-gbtree_clf__max_depth-8_, ,
recall_micro2019-08-17_22_53_02, LogisticRegression, document, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-17_22_53_02, LogisticRegression, document, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-17_22_53_02, LogisticRegression, document, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-17_23_17_19, LogisticRegression, document_simplified, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-17_23_17_19, LogisticRegression, document_simplified, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-17_23_17_19, LogisticRegression, document_simplified, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-17_23_41_37, LogisticRegression, document and list funcs, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-17_23_41_37, LogisticRegression, document and list funcs, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-17_23_41_37, LogisticRegression, document and list funcs, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_00_05_56, LogisticRegression, document_simplified and list funcs, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_00_05_56, LogisticRegression, document_simplified and list funcs, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_00_05_56, LogisticRegression, document_simplified and list funcs, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_00_30_15, LogisticRegression, document and topo feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_00_30_15, LogisticRegression, document and topo feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_00_30_15, LogisticRegression, document and topo feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_00_54_34, LogisticRegression, document_simplified and topo feats, ,104,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_00_54_34, LogisticRegression, document_simplified and topo feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_00_54_34, LogisticRegression, document_simplified and topo feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_01_18_51, LogisticRegression, document_simplified and list_funcs and topo feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_01_18_51, LogisticRegression, document_simplified and list_funcs and topo feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_01_18_51, LogisticRegression, document_simplified and list_funcs and topo feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_01_43_08, LogisticRegression, document and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_01_43_08, LogisticRegression, document and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_01_43_08, LogisticRegression, document and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_02_07_24, LogisticRegression, document_simplified and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_02_07_24, LogisticRegression, document_simplified and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_02_07_24, LogisticRegression, document_simplified and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_02_31_40, LogisticRegression, document_simplified and list_funcs and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_02_31_40, LogisticRegression, document_simplified and list_funcs and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_02_31_40, LogisticRegression, document_simplified and list_funcs and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_02_55_55, LogisticRegression, document and topo and code feats, ,102,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_02_55_55, LogisticRegression, document and topo and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_02_55_55, LogisticRegression, document and topo and code feats, ,102,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_03_20_09, LogisticRegression, document_simplified and topo and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_03_20_09, LogisticRegression, document_simplified and topo and code feats, ,103,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_03_20_09, LogisticRegression, document_simplified and topo and code feats, ,102,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_03_44_24, LogisticRegression, document_simplified and list_funcs and topo and code feats, ,102,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_03_44_24, LogisticRegression, document_simplified and list_funcs and topo and code feats, ,102,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_03_44_24, LogisticRegression, document_simplified and list_funcs and topo and code feats, ,102,0.377,0.403,0.397,0.389, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-15_01_35_15, RandomForestClassifier, tfidf and topo feats, ,1,0.354,0.428,0.382,0.384, clf__max_depth-150_clf__n_estimators-16_, ,
f1_macro2019-09-16_01_02_31, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,141,0.362,0.506,0.351,0.381, clf__booster-gbtree_clf__max_depth-8_, ,
f1_macro2019-09-16_18_59_18, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,262,0.389,0.443,0.351,0.374, clf__booster-gbtree_clf__max_depth-150_, ,
f1_macro2019-09-15_02_47_20, RandomForestClassifier, tfidf and topo feats, ,2,0.369,0.431,0.342,0.363, clf__max_depth-150_clf__n_estimators-16_, ,
f1_macro2019-09-15_04_51_29, RandomForestClassifier, tfidf and topo feats, ,2,0.371,0.409,0.335,0.354, clf__max_depth-150_clf__n_estimators-16_, ,
f1_macro2019-09-15_23_16_23, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,1344,0.302,0.385,0.301,0.318, clf__booster-gbtree_clf__max_depth-150_, ,
f1_macro2019-09-16_04_12_32, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,1,0.285,0.313,0.322,0.312, clf__max_depth-150_clf__n_estimators-4_, ,
f1_macro2019-09-15_19_10_36, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,690,0.291,0.41,0.291,0.309, clf__booster-gbtree_clf__max_depth-8_, ,
f1_macro2019-09-16_06_06_50, mlp2, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,365,0.572,0.35,0.291,0.299, d1-94_d2-20_d3-15_num_classes-10_, ,
f1_macro2019-09-16_15_19_37, mlp2, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,220,0.575,0.372,0.289,0.296, d1-94_d2-20_d3-15_num_classes-10_, ,
f1_macro2019-09-15_09_35_10, XGBClassifier, topo and code feats, ,84,0.271,0.356,0.274,0.291, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-15_14_22_12, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,89,0.271,0.356,0.274,0.291, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-16_10_39_46, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,1,0.307,0.297,0.293,0.29, clf__max_depth-150_clf__n_estimators-4_, ,
f1_macro2019-09-16_06_00_42, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,30,0.26,0.384,0.266,0.28, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-12_19_52_20, XGBClassifier, tfidf, ,474,0.252,0.381,0.268,0.279, clf__lambda-0.1_, ,
f1_macro2019-09-15_01_39_24, mlp2, tfidf and topo feats, ,28,0.519,0.325,0.277,0.277, d1-94_d2-20_d3-15_num_classes-10_, ,
f1_macro2019-09-16_07_08_55, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,5,0.282,0.332,0.267,0.276, clf__max_depth-150_clf__n_estimators-16_, ,
f1_macro2019-09-15_11_11_58, RandomForestClassifier, topo and code feats, ,1,0.27,0.32,0.261,0.274, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-16_16_48_41, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,394,0.279,0.322,0.262,0.272, clf__booster-gbtree_clf__max_depth-8_, ,
f1_macro2019-09-16_13_04_30, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,676,0.273,0.292,0.265,0.271, clf__booster-gbtree_clf__max_depth-150_, ,
f1_macro2019-09-15_15_59_52, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,2,0.254,0.297,0.258,0.265, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-15_03_07_46, XGBClassifier, topo and code feats, ,49,0.26,0.286,0.251,0.259, booster-gbtree_max_depth-150_, ,
